year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2015,10001,ZCTA5 10001,23537,14180,2869,4519,3707,0,ACS 2015 5-year (ZCTA)
2015,10002,ZCTA5 10002,80736,23866,6952,34908,21325,0,ACS 2015 5-year (ZCTA)
2015,10003,ZCTA5 10003,57112,44339,2490,7738,4140,0,ACS 2015 5-year (ZCTA)
2015,10004,ZCTA5 10004,3221,2274,23,856,216,0,ACS 2015 5-year (ZCTA)
2015,10005,ZCTA5 10005,8131,6126,240,1431,511,0,ACS 2015 5-year (ZCTA)
2015,10006,ZCTA5 10006,3110,2237,85,549,276,0,ACS 2015 5-year (ZCTA)
2015,10007,ZCTA5 10007,6876,4895,388,1057,583,0,ACS 2015 5-year (ZCTA)
2015,10009,ZCTA5 10009,60865,36295,4911,9155,15454,0,ACS 2015 5-year (ZCTA)
2015,10010,ZCTA5 10010,31447,22901,1938,5087,3012,0,ACS 2015 5-year (ZCTA)
2015,10011,ZCTA5 10011,52349,41472,1951,5850,5353,0,ACS 2015 5-year (ZCTA)
2015,10012,ZCTA5 10012,24163,18059,642,3774,1398,290,ACS 2015 5-year (ZCTA)
2015,10013,ZCTA5 10013,27415,15066,1287,9281,1963,0,ACS 2015 5-year (ZCTA)
2015,10014,ZCTA5 10014,30727,27210,382,1692,2127,0,ACS 2015 5-year (ZCTA)
2015,10016,ZCTA5 10016,50641,36436,1532,9011,4829,0,ACS 2015 5-year (ZCTA)
2015,10017,ZCTA5 10017,16472,12121,411,3521,1199,0,ACS 2015 5-year (ZCTA)
2015,10018,ZCTA5 10018,9168,5387,579,2521,1629,0,ACS 2015 5-year (ZCTA)
2015,10019,ZCTA5 10019,38830,27740,2174,5916,6305,0,ACS 2015 5-year (ZCTA)
2015,10021,ZCTA5 10021,43573,36425,736,4164,2941,0,ACS 2015 5-year (ZCTA)
2015,10022,ZCTA5 10022,30607,26207,580,3093,1807,0,ACS 2015 5-year (ZCTA)
2015,10023,ZCTA5 10023,60586,49823,1883,5836,5880,0,ACS 2015 5-year (ZCTA)
2015,10024,ZCTA5 10024,58391,47504,3437,3992,7531,0,ACS 2015 5-year (ZCTA)
2015,10025,ZCTA5 10025,96068,62344,13567,8943,21349,0,ACS 2015 5-year (ZCTA)
2015,10026,ZCTA5 10026,38310,9893,21231,1907,8112,0,ACS 2015 5-year (ZCTA)
2015,10027,ZCTA5 10027,64413,18553,27843,6222,14866,0,ACS 2015 5-year (ZCTA)
2015,10028,ZCTA5 10028,46883,41841,489,3218,2472,0,ACS 2015 5-year (ZCTA)
2015,10029,ZCTA5 10029,79251,24525,22904,7129,38839,0,ACS 2015 5-year (ZCTA)
2015,10030,ZCTA5 10030,29209,4291,19428,778,6961,0,ACS 2015 5-year (ZCTA)
2015,10031,ZCTA5 10031,59244,16700,19795,1887,31365,0,ACS 2015 5-year (ZCTA)
2015,10032,ZCTA5 10032,62685,19021,12945,2335,43025,0,ACS 2015 5-year (ZCTA)
