year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2017,10001,ZCTA5 10001,23947,14923,2626,5242,3452,0,ACS 2017 5-year (ZCTA)
2017,10002,ZCTA5 10002,77925,24502,5817,33675,21350,0,ACS 2017 5-year (ZCTA)
2017,10003,ZCTA5 10003,55035,42881,2245,7246,4358,0,ACS 2017 5-year (ZCTA)
2017,10004,ZCTA5 10004,2990,2060,34,790,222,0,ACS 2017 5-year (ZCTA)
2017,10005,ZCTA5 10005,8680,6494,270,1404,527,0,ACS 2017 5-year (ZCTA)
2017,10006,ZCTA5 10006,3579,2490,60,662,439,0,ACS 2017 5-year (ZCTA)
2017,10007,ZCTA5 10007,7036,5110,385,955,626,0,ACS 2017 5-year (ZCTA)
2017,10009,ZCTA5 10009,60141,36482,5286,8046,15539,0,ACS 2017 5-year (ZCTA)
2017,10010,ZCTA5 10010,33119,24676,1926,4903,4223,0,ACS 2017 5-year (ZCTA)
2017,10011,ZCTA5 10011,50711,39858,2748,5289,5640,0,ACS 2017 5-year (ZCTA)
2017,10012,ZCTA5 10012,24527,18138,761,4188,1609,0,ACS 2017 5-year (ZCTA)
2017,10013,ZCTA5 10013,29619,15957,1325,10358,1804,175,ACS 2017 5-year (ZCTA)
2017,10014,ZCTA5 10014,31794,28289,434,1789,1989,0,ACS 2017 5-year (ZCTA)
2017,10016,ZCTA5 10016,51448,36391,1780,10475,4827,0,ACS 2017 5-year (ZCTA)
2017,10017,ZCTA5 10017,16388,12477,353,3241,1148,0,ACS 2017 5-year (ZCTA)
2017,10018,ZCTA5 10018,9719,5711,576,2847,1611,0,ACS 2017 5-year (ZCTA)
2017,10019,ZCTA5 10019,41592,28668,2551,6850,6697,0,ACS 2017 5-year (ZCTA)
2017,10021,ZCTA5 10021,44983,36394,550,4756,3512,0,ACS 2017 5-year (ZCTA)
2017,10022,ZCTA5 10022,30807,26014,459,3431,1922,0,ACS 2017 5-year (ZCTA)
2017,10023,ZCTA5 10023,61514,49091,2266,6762,6730,0,ACS 2017 5-year (ZCTA)
2017,10024,ZCTA5 10024,58512,48514,2724,4050,6260,0,ACS 2017 5-year (ZCTA)
2017,10025,ZCTA5 10025,94382,60801,11824,9232,22719,0,ACS 2017 5-year (ZCTA)
2017,10026,ZCTA5 10026,40105,11031,21223,2254,8694,0,ACS 2017 5-year (ZCTA)
2017,10027,ZCTA5 10027,65365,20531,26358,6187,15761,0,ACS 2017 5-year (ZCTA)
2017,10028,ZCTA5 10028,50091,43504,688,4516,3295,0,ACS 2017 5-year (ZCTA)
2017,10029,ZCTA5 10029,80866,26938,24772,7717,38610,0,ACS 2017 5-year (ZCTA)
2017,10030,ZCTA5 10030,30163,4713,20007,535,7679,0,ACS 2017 5-year (ZCTA)
2017,10031,ZCTA5 10031,62382,19676,18827,2456,31640,0,ACS 2017 5-year (ZCTA)
2017,10032,ZCTA5 10032,63185,19503,12804,2772,42004,0,ACS 2017 5-year (ZCTA)
2017,10033,ZCTA5 10033,60810,25298,6049,1136,41852,0,ACS 2017 5-year (ZCTA)
2017,10034,ZCTA5 10034,44186,16299,4714,995,32005,0,ACS 2017 5-year (ZCTA)
2017,10035,ZCTA5 10035,35366,7505,14127,1830,16706,0,ACS 2017 5-year (ZCTA)
2017,10036,ZCTA5 10036,26868,17332,2049,5083,5271,0,ACS 2017 5-year (ZCTA)
2017,10037,ZCTA5 10037,21184,2137,15537,520,4977,0,ACS 2017 5-year (ZCTA)
2017,10038,ZCTA5 10038,22457,11278,2176,7622,2608,0,ACS 2017 5-year (ZCTA)
2017,10039,ZCTA5 10039,27203,3592,17202,504,8322,0,ACS 2017 5-year (ZCTA)
2017,10040,ZCTA5 10040,46003,16319,4590,1201,32013,0,ACS 2017 5-year (ZCTA)
2017,10044,ZCTA5 10044,11945,5805,1589,3650,1619,0,ACS 2017 5-year (ZCTA)
2017,10065,ZCTA5 10065,29565,26200,694,2200,1843,0,ACS 2017 5-year (ZCTA)
2017,10069,ZCTA5 10069,5195,3654,157,1173,51,160,ACS 2017 5-year (ZCTA)
2017,10075,ZCTA5 10075,22818,19979,292,960,3202,0,ACS 2017 5-year (ZCTA)
2017,10128,ZCTA5 10128,62743,49800,2747,6176,7867,0,ACS 2017 5-year (ZCTA)
2017,10280,ZCTA5 10280,9820,7346,172,1835,856,0,ACS 2017 5-year (ZCTA)
2017,10282,ZCTA5 10282,5644,4345,71,950,315,0,ACS 2017 5-year (ZCTA)
2017,10301,ZCTA5 10301,39451,21731,10554,2347,9589,0,ACS 2017 5-year (ZCTA)
2017,10302,ZCTA5 10302,18539,11856,3330,1255,7506,0,ACS 2017 5-year (ZCTA)
2017,10303,ZCTA5 10303,25804,11298,9269,1893,9673,0,ACS 2017 5-year (ZCTA)
2017,10304,ZCTA5 10304,41884,22095,11164,4044,10771,0,ACS 2017 5-year (ZCTA)
2017,10305,ZCTA5 10305,42311,31746,2402,5057,7641,0,ACS 2017 5-year (ZCTA)
2017,10306,ZCTA5 10306,54021,46587,1597,3499,7874,0,ACS 2017 5-year (ZCTA)
2017,10307,ZCTA5 10307,15528,14736,53,465,1443,0,ACS 2017 5-year (ZCTA)
2017,10308,ZCTA5 10308,30024,27805,304,1417,3306,0,ACS 2017 5-year (ZCTA)
2017,10309,ZCTA5 10309,33660,31146,367,1277,2683,0,ACS 2017 5-year (ZCTA)
2017,10310,ZCTA5 10310,23708,14011,5256,1546,7309,0,ACS 2017 5-year (ZCTA)
2017,10312,ZCTA5 10312,61058,55809,721,3419,6011,0,ACS 2017 5-year (ZCTA)
2017,10314,ZCTA5 10314,89960,67272,4220,14068,12734,0,ACS 2017 5-year (ZCTA)
2017,10451,ZCTA5 10451,48240,5705,19097,907,27981,0,ACS 2017 5-year (ZCTA)
2017,10452,ZCTA5 10452,77983,9144,24530,1085,54067,0,ACS 2017 5-year (ZCTA)
2017,10453,ZCTA5 10453,82232,7514,26277,1472,56561,0,ACS 2017 5-year (ZCTA)
2017,10454,ZCTA5 10454,38654,4899,11047,176,26881,0,ACS 2017 5-year (ZCTA)
2017,10455,ZCTA5 10455,42558,4878,12488,408,31043,0,ACS 2017 5-year (ZCTA)
2017,10456,ZCTA5 10456,94667,8974,39818,1180,57047,0,ACS 2017 5-year (ZCTA)
2017,10457,ZCTA5 10457,75668,9793,30113,929,48066,0,ACS 2017 5-year (ZCTA)
2017,10458,ZCTA5 10458,85157,16315,17243,2330,58883,0,ACS 2017 5-year (ZCTA)
2017,10459,ZCTA5 10459,48895,5829,16754,353,33398,0,ACS 2017 5-year (ZCTA)
2017,10460,ZCTA5 10460,60772,8680,17635,784,43277,0,ACS 2017 5-year (ZCTA)
