year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2021,10001,ZCTA5 10001,26966,16963,2117,4527,4973,0,ACS 2021 5-year (ZCTA)
2021,10002,ZCTA5 10002,76807,24687,6453,30288,19907,0,ACS 2021 5-year (ZCTA)
2021,10003,ZCTA5 10003,54447,38481,2823,9110,4378,0,ACS 2021 5-year (ZCTA)
2021,10004,ZCTA5 10004,4795,2758,162,1593,203,79,ACS 2021 5-year (ZCTA)
2021,10005,ZCTA5 10005,8637,6496,147,1180,589,225,ACS 2021 5-year (ZCTA)
2021,10006,ZCTA5 10006,3894,2526,255,895,222,0,ACS 2021 5-year (ZCTA)
2021,10007,ZCTA5 10007,8194,6173,736,1064,920,0,ACS 2021 5-year (ZCTA)
2021,10009,ZCTA5 10009,60000,34924,4577,7995,14683,0,ACS 2021 5-year (ZCTA)
2021,10010,ZCTA5 10010,33193,22952,2952,4955,3343,0,ACS 2021 5-year (ZCTA)
2021,10011,ZCTA5 10011,51867,38919,2322,4854,7111,0,ACS 2021 5-year (ZCTA)
2021,10012,ZCTA5 10012,22269,15836,806,4131,1976,0,ACS 2021 5-year (ZCTA)
2021,10013,ZCTA5 10013,29563,17204,1000,9160,2343,0,ACS 2021 5-year (ZCTA)
2021,10014,ZCTA5 10014,29815,25507,539,1377,2629,0,ACS 2021 5-year (ZCTA)
2021,10016,ZCTA5 10016,56758,38463,2474,10060,6791,0,ACS 2021 5-year (ZCTA)
2021,10017,ZCTA5 10017,15514,11545,426,2762,728,53,ACS 2021 5-year (ZCTA)
2021,10018,ZCTA5 10018,8063,4514,409,2433,1034,0,ACS 2021 5-year (ZCTA)
2021,10019,ZCTA5 10019,43989,28545,2664,8249,7710,0,ACS 2021 5-year (ZCTA)
2021,10021,ZCTA5 10021,42484,36010,129,3936,2437,0,ACS 2021 5-year (ZCTA)
2021,10022,ZCTA5 10022,33303,27702,450,3433,3137,0,ACS 2021 5-year (ZCTA)
2021,10023,ZCTA5 10023,65891,48380,3108,8331,5525,547,ACS 2021 5-year (ZCTA)
2021,10024,ZCTA5 10024,63916,52190,1834,3588,7446,0,ACS 2021 5-year (ZCTA)
2021,10025,ZCTA5 10025,96918,59414,11148,9793,21794,0,ACS 2021 5-year (ZCTA)
2021,10026,ZCTA5 10026,39401,10096,20286,2360,7623,0,ACS 2021 5-year (ZCTA)
2021,10027,ZCTA5 10027,65840,19727,24465,5701,16970,0,ACS 2021 5-year (ZCTA)
2021,10028,ZCTA5 10028,47793,41401,636,3632,3612,0,ACS 2021 5-year (ZCTA)
2021,10029,ZCTA5 10029,77661,21361,23610,8336,35569,0,ACS 2021 5-year (ZCTA)
2021,10030,ZCTA5 10030,31611,5266,18308,1107,9091,0,ACS 2021 5-year (ZCTA)
2021,10031,ZCTA5 10031,61801,16316,17443,2708,31354,0,ACS 2021 5-year (ZCTA)
2021,10032,ZCTA5 10032,60529,14137,10784,2939,39047,0,ACS 2021 5-year (ZCTA)
2021,10033,ZCTA5 10033,60739,22094,5005,1787,40442,0,ACS 2021 5-year (ZCTA)
2021,10034,ZCTA5 10034,43365,13880,5539,1196,30768,0,ACS 2021 5-year (ZCTA)
2021,10035,ZCTA5 10035,37042,7749,14979,1375,16293,0,ACS 2021 5-year (ZCTA)
2021,10036,ZCTA5 10036,30437,18141,2288,5116,6001,0,ACS 2021 5-year (ZCTA)
2021,10037,ZCTA5 10037,19374,2228,13342,702,3647,0,ACS 2021 5-year (ZCTA)
2021,10038,ZCTA5 10038,23356,11554,2495,6638,2265,404,ACS 2021 5-year (ZCTA)
2021,10039,ZCTA5 10039,27234,4217,15394,627,9112,0,ACS 2021 5-year (ZCTA)
2021,10040,ZCTA5 10040,45771,13785,3044,1061,32398,0,ACS 2021 5-year (ZCTA)
2021,10044,ZCTA5 10044,12155,5268,1581,3994,1297,15,ACS 2021 5-year (ZCTA)
2021,10065,ZCTA5 10065,31270,24949,647,4304,2574,0,ACS 2021 5-year (ZCTA)
2021,10069,ZCTA5 10069,5774,2872,179,1866,255,602,ACS 2021 5-year (ZCTA)
2021,10075,ZCTA5 10075,23391,20121,423,1659,1873,0,ACS 2021 5-year (ZCTA)
2021,10128,ZCTA5 10128,58147,42660,2985,5736,7543,0,ACS 2021 5-year (ZCTA)
2021,10280,ZCTA5 10280,8582,6199,138,1810,1090,0,ACS 2021 5-year (ZCTA)
2021,10282,ZCTA5 10282,6419,4774,124,993,277,251,ACS 2021 5-year (ZCTA)
2021,10301,ZCTA5 10301,38736,22839,7772,2899,10098,0,ACS 2021 5-year (ZCTA)
2021,10302,ZCTA5 10302,18144,8182,4449,1069,7195,0,ACS 2021 5-year (ZCTA)
2021,10303,ZCTA5 10303,27469,10012,9205,2678,10718,0,ACS 2021 5-year (ZCTA)
2021,10304,ZCTA5 10304,43849,21430,12254,4912,9897,0,ACS 2021 5-year (ZCTA)
2021,10305,ZCTA5 10305,44531,29984,2799,8661,6527,0,ACS 2021 5-year (ZCTA)
2021,10306,ZCTA5 10306,55805,42275,2465,5757,8902,0,ACS 2021 5-year (ZCTA)
2021,10307,ZCTA5 10307,14828,13484,21,481,1726,0,ACS 2021 5-year (ZCTA)
2021,10308,ZCTA5 10308,30353,27124,430,1171,3458,0,ACS 2021 5-year (ZCTA)
2021,10309,ZCTA5 10309,35832,32925,225,1088,2813,0,ACS 2021 5-year (ZCTA)
2021,10310,ZCTA5 10310,25976,14269,5892,1410,7571,0,ACS 2021 5-year (ZCTA)
2021,10312,ZCTA5 10312,63935,54984,524,4500,7854,0,ACS 2021 5-year (ZCTA)
2021,10314,ZCTA5 10314,93736,64563,3716,16710,14198,0,ACS 2021 5-year (ZCTA)
2021,10451,ZCTA5 10451,50118,7686,21816,611,28115,0,ACS 2021 5-year (ZCTA)
2021,10452,ZCTA5 10452,79838,11730,26950,1046,54061,0,ACS 2021 5-year (ZCTA)
2021,10453,ZCTA5 10453,80393,9043,25969,1586,55516,0,ACS 2021 5-year (ZCTA)
2021,10454,ZCTA5 10454,38908,6089,12532,66,27134,0,ACS 2021 5-year (ZCTA)
2021,10455,ZCTA5 10455,42781,6098,13906,587,31216,0,ACS 2021 5-year (ZCTA)
2021,10456,ZCTA5 10456,90314,11085,43434,638,52202,0,ACS 2021 5-year (ZCTA)
2021,10457,ZCTA5 10457,79443,14120,36024,498,51729,0,ACS 2021 5-year (ZCTA)
2021,10458,ZCTA5 10458,86757,10878,15587,2904,62498,0,ACS 2021 5-year (ZCTA)
2021,10459,ZCTA5 10459,51303,6164,17878,158,34599,0,ACS 2021 5-year (ZCTA)
2021,10460,ZCTA5 10460,59979,9533,20511,827,39939,0,ACS 2021 5-year (ZCTA)
2021,10461,ZCTA5 10461,52756,23826,5098,5979,26472,0,ACS 2021 5-year (ZCTA)
2021,10462,ZCTA5 10462,78470,15172,20127,11680,37603,0,ACS 2021 5-year (ZCTA)
2021,10463,ZCTA5 10463,73256,32415,11915,2740,37727,0,ACS 2021 5-year (ZCTA)
2021,10464,ZCTA5 10464,4417,3399,31,87,1187,0,ACS 2021 5-year (ZCTA)
2021,10465,ZCTA5 10465,46205,24703,6303,2717,20930,0,ACS 2021 5-year (ZCTA)
2021,10466,ZCTA5 10466,75767,6861,51654,1857,20181,0,ACS 2021 5-year (ZCTA)
2021,10467,ZCTA5 10467,102209,21729,33228,6508,53378,0,ACS 2021 5-year (ZCTA)
2021,10468,ZCTA5 10468,82480,11015,18434,2165,65410,0,ACS 2021 5-year (ZCTA)
2021,10469,ZCTA5 10469,75290,11838,42738,4136,21288,0,ACS 2021 5-year (ZCTA)
2021,10470,ZCTA5 10470,16446,7214,6143,559,3373,0,ACS 2021 5-year (ZCTA)
2021,10471,ZCTA5 10471,23387,14686,2456,1029,6379,0,ACS 2021 5-year (ZCTA)
