year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2016,10457,ZCTA5 10457,74010,8596,25497,941,47705,0,ACS 2016 5-year (ZCTA)
2016,10458,ZCTA5 10458,81698,15769,16735,2571,54701,0,ACS 2016 5-year (ZCTA)
2016,10459,ZCTA5 10459,47972,5636,15712,485,33185,0,ACS 2016 5-year (ZCTA)
2016,10460,ZCTA5 10460,60266,8084,17196,974,42450,0,ACS 2016 5-year (ZCTA)
2016,10461,ZCTA5 10461,50255,23975,4489,5592,22211,0,ACS 2016 5-year (ZCTA)
2016,10462,ZCTA5 10462,78725,17569,21468,9567,38020,0,ACS 2016 5-year (ZCTA)
2016,10463,ZCTA5 10463,71657,30893,11004,3000,35763,0,ACS 2016 5-year (ZCTA)
2016,10464,ZCTA5 10464,4300,3262,69,209,1232,0,ACS 2016 5-year (ZCTA)
2016,10465,ZCTA5 10465,44950,27291,5179,1500,18492,0,ACS 2016 5-year (ZCTA)
2016,10466,ZCTA5 10466,71645,6235,52501,1747,15845,0,ACS 2016 5-year (ZCTA)
2016,10467,ZCTA5 10467,103045,20637,36795,6483,53511,0,ACS 2016 5-year (ZCTA)
2016,10468,ZCTA5 10468,75537,10633,15941,2654,55841,0,ACS 2016 5-year (ZCTA)
2016,10469,ZCTA5 10469,71664,13370,39319,3822,19806,0,ACS 2016 5-year (ZCTA)
2016,10470,ZCTA5 10470,14574,6805,5136,522,2823,0,ACS 2016 5-year (ZCTA)
2016,10471,ZCTA5 10471,21601,15290,1707,1551,5110,0,ACS 2016 5-year (ZCTA)
2016,10472,ZCTA5 10472,68972,12034,19597,4013,44555,0,ACS 2016 5-year (ZCTA)
2016,10473,ZCTA5 10473,61818,21980,24570,1303,37993,0,ACS 2016 5-year (ZCTA)
2016,10474,ZCTA5 10474,12793,1574,4221,54,8891,0,ACS 2016 5-year (ZCTA)
2016,10475,ZCTA5 10475,44749,7078,27516,577,13241,0,ACS 2016 5-year (ZCTA)
2016,11004,ZCTA5 11004,14722,7286,1067,5267,1723,0,ACS 2016 5-year (ZCTA)
2016,11101,ZCTA5 11101,26505,12794,4095,5088,7937,0,ACS 2016 5-year (ZCTA)
2016,11102,ZCTA5 11102,33750,19623,3662,5055,9829,0,ACS 2016 5-year (ZCTA)
2016,11103,ZCTA5 11103,38861,27142,1103,6130,9358,0,ACS 2016 5-year (ZCTA)
2016,11104,ZCTA5 11104,26102,17314,384,5524,8384,0,ACS 2016 5-year (ZCTA)
2016,11105,ZCTA5 11105,37297,27733,816,4974,8145,0,ACS 2016 5-year (ZCTA)
2016,11106,ZCTA5 11106,39409,21854,2759,8155,11470,0,ACS 2016 5-year (ZCTA)
2016,11109,ZCTA5 11109,4964,3179,235,1273,312,0,ACS 2016 5-year (ZCTA)
2016,11201,ZCTA5 11201,60061,38567,8227,6763,7331,0,ACS 2016 5-year (ZCTA)
2016,11203,ZCTA5 11203,75920,3475,67735,1264,4847,0,ACS 2016 5-year (ZCTA)
2016,11204,ZCTA5 11204,79332,48426,769,24516,7923,0,ACS 2016 5-year (ZCTA)
2016,11205,ZCTA5 11205,44818,21252,14271,3443,8608,0,ACS 2016 5-year (ZCTA)
2016,11206,ZCTA5 11206,86486,39767,22553,5906,34582,0,ACS 2016 5-year (ZCTA)
2016,11207,ZCTA5 11207,93251,12698,61747,1216,30649,0,ACS 2016 5-year (ZCTA)
2016,11208,ZCTA5 11208,95715,24511,50977,5909,39247,0,ACS 2016 5-year (ZCTA)
2016,11209,ZCTA5 11209,67822,51294,1415,8665,11266,0,ACS 2016 5-year (ZCTA)
2016,11210,ZCTA5 11210,68435,20260,41290,2752,5074,0,ACS 2016 5-year (ZCTA)
2016,11211,ZCTA5 11211,99964,76935,6384,5310,24803,0,ACS 2016 5-year (ZCTA)
2016,11212,ZCTA5 11212,86469,4882,72455,1332,14664,0,ACS 2016 5-year (ZCTA)
2016,11213,ZCTA5 11213,65434,13526,44661,1379,7781,0,ACS 2016 5-year (ZCTA)
2016,11214,ZCTA5 11214,91728,48182,1215,33497,13299,0,ACS 2016 5-year (ZCTA)
2016,11215,ZCTA5 11215,69965,52895,3192,5311,12095,0,ACS 2016 5-year (ZCTA)
2016,11216,ZCTA5 11216,55816,13451,35215,2720,5479,0,ACS 2016 5-year (ZCTA)
2016,11217,ZCTA5 11217,38670,22901,6589,2755,7697,0,ACS 2016 5-year (ZCTA)
2016,11218,ZCTA5 11218,74831,42841,6315,13676,13974,0,ACS 2016 5-year (ZCTA)
