year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2019,10001,ZCTA5 10001,24117,15677,1510,5377,3741,0,ACS 2019 5-year (ZCTA)
2019,10002,ZCTA5 10002,74479,23849,6635,31198,19554,0,ACS 2019 5-year (ZCTA)
2019,10003,ZCTA5 10003,53977,40681,3007,7812,4559,0,ACS 2019 5-year (ZCTA)
2019,10004,ZCTA5 10004,3335,2033,142,992,108,60,ACS 2019 5-year (ZCTA)
2019,10005,ZCTA5 10005,8701,6532,94,1543,552,0,ACS 2019 5-year (ZCTA)
2019,10006,ZCTA5 10006,3092,2272,99,496,335,0,ACS 2019 5-year (ZCTA)
2019,10007,ZCTA5 10007,7408,5762,610,777,866,0,ACS 2019 5-year (ZCTA)
2019,10009,ZCTA5 10009,58293,35918,5027,8287,13867,0,ACS 2019 5-year (ZCTA)
2019,10010,ZCTA5 10010,35906,24991,3367,5903,3807,0,ACS 2019 5-year (ZCTA)
2019,10011,ZCTA5 10011,49949,40234,2216,4387,5958,0,ACS 2019 5-year (ZCTA)
2019,10012,ZCTA5 10012,23318,17168,625,4249,1806,0,ACS 2019 5-year (ZCTA)
2019,10013,ZCTA5 10013,28799,16716,1097,9049,1916,21,ACS 2019 5-year (ZCTA)
2019,10014,ZCTA5 10014,30344,26983,423,1464,2119,0,ACS 2019 5-year (ZCTA)
2019,10016,ZCTA5 10016,52886,38010,2035,10743,4313,0,ACS 2019 5-year (ZCTA)
2019,10017,ZCTA5 10017,15846,11765,314,3373,821,0,ACS 2019 5-year (ZCTA)
2019,10018,ZCTA5 10018,8806,5242,462,2461,1415,0,ACS 2019 5-year (ZCTA)
2019,10019,ZCTA5 10019,45498,30408,2738,8695,7406,0,ACS 2019 5-year (ZCTA)
2019,10021,ZCTA5 10021,44280,37414,294,3802,3053,0,ACS 2019 5-year (ZCTA)
2019,10022,ZCTA5 10022,31130,25922,469,3752,2397,0,ACS 2019 5-year (ZCTA)
2019,10023,ZCTA5 10023,62541,49293,2909,6543,6845,0,ACS 2019 5-year (ZCTA)
2019,10024,ZCTA5 10024,58102,47847,2452,4622,6217,0,ACS 2019 5-year (ZCTA)
2019,10025,ZCTA5 10025,92251,61064,10669,8936,21737,0,ACS 2019 5-year (ZCTA)
2019,10026,ZCTA5 10026,38585,10813,19771,2424,8282,0,ACS 2019 5-year (ZCTA)
2019,10027,ZCTA5 10027,64988,20745,24515,6150,17091,0,ACS 2019 5-year (ZCTA)
2019,10028,ZCTA5 10028,46768,40185,715,4591,3233,0,ACS 2019 5-year (ZCTA)
2019,10029,ZCTA5 10029,76713,26750,25098,7060,35744,0,ACS 2019 5-year (ZCTA)
2019,10030,ZCTA5 10030,31060,5093,19309,705,8322,0,ACS 2019 5-year (ZCTA)
2019,10031,ZCTA5 10031,59586,18726,16699,2488,30510,0,ACS 2019 5-year (ZCTA)
2019,10032,ZCTA5 10032,63214,18365,12081,2894,42304,0,ACS 2019 5-year (ZCTA)
2019,10033,ZCTA5 10033,58349,23981,6036,1361,39125,0,ACS 2019 5-year (ZCTA)
2019,10034,ZCTA5 10034,42399,16732,5899,1238,29339,0,ACS 2019 5-year (ZCTA)
2019,10035,ZCTA5 10035,36048,7552,14481,1504,16441,0,ACS 2019 5-year (ZCTA)
2019,10036,ZCTA5 10036,28487,18084,2179,5208,6159,0,ACS 2019 5-year (ZCTA)
2019,10037,ZCTA5 10037,20462,2083,14573,571,4292,0,ACS 2019 5-year (ZCTA)
2019,10038,ZCTA5 10038,23311,12375,2174,6940,2729,0,ACS 2019 5-year (ZCTA)
2019,10039,ZCTA5 10039,27854,3949,17411,443,9060,0,ACS 2019 5-year (ZCTA)
2019,10040,ZCTA5 10040,44800,16490,4414,1336,30795,0,ACS 2019 5-year (ZCTA)
2019,10044,ZCTA5 10044,12440,5341,1567,4264,1603,0,ACS 2019 5-year (ZCTA)
2019,10065,ZCTA5 10065,29530,24847,690,3384,2296,0,ACS 2019 5-year (ZCTA)
2019,10069,ZCTA5 10069,6051,3814,228,1775,229,5,ACS 2019 5-year (ZCTA)
2019,10075,ZCTA5 10075,22252,18404,705,1359,3471,0,ACS 2019 5-year (ZCTA)
2019,10128,ZCTA5 10128,58636,46471,2090,5810,7571,0,ACS 2019 5-year (ZCTA)
2019,10280,ZCTA5 10280,9496,7136,254,1570,1079,0,ACS 2019 5-year (ZCTA)
2019,10282,ZCTA5 10282,5783,4368,57,1150,383,0,ACS 2019 5-year (ZCTA)
2019,10301,ZCTA5 10301,38280,23029,9022,2421,9458,0,ACS 2019 5-year (ZCTA)
2019,10302,ZCTA5 10302,18037,10537,3964,1700,7020,0,ACS 2019 5-year (ZCTA)
2019,10303,ZCTA5 10303,27401,12825,9393,2118,10806,0,ACS 2019 5-year (ZCTA)
