year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2022,10001,ZCTA5 10001,27004,15428,2355,5031,5206,0,ACS 2022 5-year (ZCTA)
2022,10002,ZCTA5 10002,76518,23951,6785,28590,19864,0,ACS 2022 5-year (ZCTA)
2022,10003,ZCTA5 10003,53877,36515,2899,9023,5541,0,ACS 2022 5-year (ZCTA)
2022,10004,ZCTA5 10004,4579,2653,266,1419,229,12,ACS 2022 5-year (ZCTA)
2022,10005,ZCTA5 10005,8801,6233,421,985,755,407,ACS 2022 5-year (ZCTA)
2022,10006,ZCTA5 10006,3736,2550,225,684,203,74,ACS 2022 5-year (ZCTA)
2022,10007,ZCTA5 10007,7506,5471,646,1201,966,0,ACS 2022 5-year (ZCTA)
2022,10009,ZCTA5 10009,58418,32738,4477,8106,14386,0,ACS 2022 5-year (ZCTA)
2022,10010,ZCTA5 10010,32410,21682,2753,5067,3186,0,ACS 2022 5-year (ZCTA)
2022,10011,ZCTA5 10011,50772,37319,2345,4519,7062,0,ACS 2022 5-year (ZCTA)
2022,10012,ZCTA5 10012,21216,14971,598,3694,2181,0,ACS 2022 5-year (ZCTA)
2022,10013,ZCTA5 10013,29453,17019,964,8747,2447,276,ACS 2022 5-year (ZCTA)
2022,10014,ZCTA5 10014,29461,24159,650,1662,3271,0,ACS 2022 5-year (ZCTA)
2022,10016,ZCTA5 10016,54369,34711,2603,10521,6786,0,ACS 2022 5-year (ZCTA)
2022,10017,ZCTA5 10017,14486,9949,461,3035,414,627,ACS 2022 5-year (ZCTA)
2022,10018,ZCTA5 10018,8659,4425,544,2558,1149,0,ACS 2022 5-year (ZCTA)
2022,10019,ZCTA5 10019,42766,26754,2630,8056,7232,0,ACS 2022 5-year (ZCTA)
2022,10021,ZCTA5 10021,40642,34223,177,3997,2321,0,ACS 2022 5-year (ZCTA)
2022,10022,ZCTA5 10022,33586,26748,486,3946,3471,0,ACS 2022 5-year (ZCTA)
2022,10023,ZCTA5 10023,65706,46750,3595,9183,6357,0,ACS 2022 5-year (ZCTA)
2022,10024,ZCTA5 10024,62774,49311,1604,4049,7527,283,ACS 2022 5-year (ZCTA)
