year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2018,10001,ZCTA5 10001,22924,14422,1413,5774,3246,0,ACS 2018 5-year (ZCTA)
2018,10002,ZCTA5 10002,74993,24168,6283,31089,20390,0,ACS 2018 5-year (ZCTA)
2018,10003,ZCTA5 10003,54682,41511,3178,7373,4506,0,ACS 2018 5-year (ZCTA)
2018,10004,ZCTA5 10004,3028,1902,51,922,112,41,ACS 2018 5-year (ZCTA)
2018,10005,ZCTA5 10005,8831,6484,221,1497,608,21,ACS 2018 5-year (ZCTA)
2018,10006,ZCTA5 10006,3454,2411,36,687,414,0,ACS 2018 5-year (ZCTA)
2018,10007,ZCTA5 10007,7023,5421,332,826,580,0,ACS 2018 5-year (ZCTA)
2018,10009,ZCTA5 10009,57925,35817,5431,7512,14347,0,ACS 2018 5-year (ZCTA)
2018,10010,ZCTA5 10010,33730,24684,1784,5859,3703,0,ACS 2018 5-year (ZCTA)
2018,10011,ZCTA5 10011,50472,40331,2819,4627,5704,0,ACS 2018 5-year (ZCTA)
2018,10012,ZCTA5 10012,23411,17411,651,4055,1494,0,ACS 2018 5-year (ZCTA)
2018,10013,ZCTA5 10013,28709,15961,1260,9558,1728,202,ACS 2018 5-year (ZCTA)
2018,10014,ZCTA5 10014,30738,27314,336,1766,2047,0,ACS 2018 5-year (ZCTA)
2018,10016,ZCTA5 10016,51057,36727,1929,9858,3543,0,ACS 2018 5-year (ZCTA)
2018,10017,ZCTA5 10017,15801,11683,370,3352,932,0,ACS 2018 5-year (ZCTA)
2018,10018,ZCTA5 10018,9687,5791,466,2897,1471,0,ACS 2018 5-year (ZCTA)
2018,10019,ZCTA5 10019,43703,29663,2553,7596,7328,0,ACS 2018 5-year (ZCTA)
2018,10021,ZCTA5 10021,46215,38017,420,4333,3664,0,ACS 2018 5-year (ZCTA)
2018,10022,ZCTA5 10022,31125,26028,448,3801,1686,0,ACS 2018 5-year (ZCTA)
