year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2020,10001,ZCTA5 10001,25026,15880,1619,5201,3925,0,ACS 2020 5-year (ZCTA)
2020,10002,ZCTA5 10002,74363,23574,6645,31140,19155,0,ACS 2020 5-year (ZCTA)
2020,10003,ZCTA5 10003,54671,39951,2759,8244,4732,0,ACS 2020 5-year (ZCTA)
2020,10004,ZCTA5 10004,3310,2259,160,674,193,24,ACS 2020 5-year (ZCTA)
2020,10005,ZCTA5 10005,8664,6326,174,1514,529,121,ACS 2020 5-year (ZCTA)
2020,10006,ZCTA5 10006,3260,2291,156,561,287,0,ACS 2020 5-year (ZCTA)
2020,10007,ZCTA5 10007,7566,5784,623,882,1110,0,ACS 2020 5-year (ZCTA)
2020,10009,ZCTA5 10009,58267,34556,4581,8749,13476,0,ACS 2020 5-year (ZCTA)
2020,10010,ZCTA5 10010,34763,23667,3810,5231,3138,0,ACS 2020 5-year (ZCTA)
2020,10011,ZCTA5 10011,50228,39014,2303,4477,6875,0,ACS 2020 5-year (ZCTA)
2020,10012,ZCTA5 10012,23034,17165,613,3981,1915,0,ACS 2020 5-year (ZCTA)
2020,10013,ZCTA5 10013,28657,17734,940,8115,1905,0,ACS 2020 5-year (ZCTA)
2020,10014,ZCTA5 10014,29071,25470,484,1231,2405,0,ACS 2020 5-year (ZCTA)
2020,10016,ZCTA5 10016,52912,36986,1764,9767,6706,0,ACS 2020 5-year (ZCTA)
2020,10017,ZCTA5 10017,16065,11723,437,3240,686,0,ACS 2020 5-year (ZCTA)
2020,10018,ZCTA5 10018,8135,4693,310,2492,1191,0,ACS 2020 5-year (ZCTA)
2020,10019,ZCTA5 10019,45521,30126,2453,8496,8011,0,ACS 2020 5-year (ZCTA)
2020,10021,ZCTA5 10021,42253,35183,119,4718,2165,68,ACS 2020 5-year (ZCTA)
2020,10022,ZCTA5 10022,31574,26359,435,3417,3069,0,ACS 2020 5-year (ZCTA)
2020,10023,ZCTA5 10023,62228,48343,2776,6973,5283,0,ACS 2020 5-year (ZCTA)
2020,10024,ZCTA5 10024,60714,50515,1773,4107,6555,0,ACS 2020 5-year (ZCTA)
2020,10025,ZCTA5 10025,92162,59085,9754,9188,21867,0,ACS 2020 5-year (ZCTA)
2020,10026,ZCTA5 10026,38937,9971,20310,2411,7607,0,ACS 2020 5-year (ZCTA)
2020,10027,ZCTA5 10027,64728,19471,25429,5512,16263,0,ACS 2020 5-year (ZCTA)
2020,10028,ZCTA5 10028,47962,40441,847,4990,3548,0,ACS 2020 5-year (ZCTA)
2020,10029,ZCTA5 10029,74617,23188,23400,8142,33471,0,ACS 2020 5-year (ZCTA)
2020,10030,ZCTA5 10030,30996,5412,18542,1147,8564,0,ACS 2020 5-year (ZCTA)
2020,10031,ZCTA5 10031,60280,17993,17271,2361,29950,0,ACS 2020 5-year (ZCTA)
2020,10032,ZCTA5 10032,59527,16262,10803,2542,39054,0,ACS 2020 5-year (ZCTA)
2020,10033,ZCTA5 10033,58648,23458,5118,1470,39008,0,ACS 2020 5-year (ZCTA)
2020,10034,ZCTA5 10034,41933,14749,5837,1257,29248,0,ACS 2020 5-year (ZCTA)
2020,10035,ZCTA5 10035,36999,7743,14458,1361,16800,0,ACS 2020 5-year (ZCTA)
2020,10036,ZCTA5 10036,28231,17606,1928,5529,4991,0,ACS 2020 5-year (ZCTA)
2020,10037,ZCTA5 10037,19177,2339,12961,763,4428,0,ACS 2020 5-year (ZCTA)
2020,10038,ZCTA5 10038,24205,12347,2516,6975,2631,0,ACS 2020 5-year (ZCTA)
2020,10039,ZCTA5 10039,27090,3954,16253,529,9061,0,ACS 2020 5-year (ZCTA)
2020,10040,ZCTA5 10040,45197,14944,4055,1293,31425,0,ACS 2020 5-year (ZCTA)
2020,10044,ZCTA5 10044,12770,5949,1582,4136,1197,0,ACS 2020 5-year (ZCTA)
2020,10065,ZCTA5 10065,30339,24572,636,4392,2385,0,ACS 2020 5-year (ZCTA)
2020,10069,ZCTA5 10069,6504,3111,315,1883,1095,100,ACS 2020 5-year (ZCTA)
2020,10075,ZCTA5 10075,22591,18775,457,1416,3710,0,ACS 2020 5-year (ZCTA)
2020,10128,ZCTA5 10128,57993,44069,2644,5364,8538,0,ACS 2020 5-year (ZCTA)
2020,10280,ZCTA5 10280,9372,7129,55,1710,1082,0,ACS 2020 5-year (ZCTA)
2020,10282,ZCTA5 10282,6086,4670,139,998,639,0,ACS 2020 5-year (ZCTA)
2020,10301,ZCTA5 10301,38001,21927,8300,3009,9448,0,ACS 2020 5-year (ZCTA)
2020,10302,ZCTA5 10302,17942,9247,4584,1211,6785,0,ACS 2020 5-year (ZCTA)
2020,10303,ZCTA5 10303,27164,11474,8918,2071,10853,0,ACS 2020 5-year (ZCTA)
2020,10304,ZCTA5 10304,42133,21822,11931,4063,9542,0,ACS 2020 5-year (ZCTA)
2020,10305,ZCTA5 10305,42968,29468,2889,7404,6164,0,ACS 2020 5-year (ZCTA)
