zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
10461,ZCTA5 10461,50900,20438,5128,6956,23703,0,ACS 2023 5-year (ZCTA)
10462,ZCTA5 10462,75452,11771,18307,13732,34617,0,ACS 2023 5-year (ZCTA)
10463,ZCTA5 10463,69373,26634,10503,2788,34773,0,ACS 2023 5-year (ZCTA)
10464,ZCTA5 10464,4273,2849,61,91,1400,0,ACS 2023 5-year (ZCTA)
10465,ZCTA5 10465,46457,20938,6164,2676,21438,0,ACS 2023 5-year (ZCTA)
10466,ZCTA5 10466,74061,4418,47389,1477,21437,0,ACS 2023 5-year (ZCTA)
10467,ZCTA5 10467,96304,15203,29859,6267,51489,0,ACS 2023 5-year (ZCTA)
10468,ZCTA5 10468,79825,8601,19158,1852,60755,0,ACS 2023 5-year (ZCTA)
10469,ZCTA5 10469,69855,8760,39845,4407,19150,0,ACS 2023 5-year (ZCTA)
10470,ZCTA5 10470,15558,6499,5290,410,3700,0,ACS 2023 5-year (ZCTA)
10471,ZCTA5 10471,23400,13377,2076,1069,7304,0,ACS 2023 5-year (ZCTA)
10472,ZCTA5 10472,63820,4455,17362,5164,39427,0,ACS 2023 5-year (ZCTA)
10473,ZCTA5 10473,59778,7831,24534,1454,35424,0,ACS 2023 5-year (ZCTA)
10474,ZCTA5 10474,11188,741,3439,46,7994,0,ACS 2023 5-year (ZCTA)
10475,ZCTA5 10475,42771,3460,27364,796,12913,0,ACS 2023 5-year (ZCTA)
11004,ZCTA5 11004,14296,4097,817,7435,1398,549,ACS 2023 5-year (ZCTA)
11101,ZCTA5 11101,39007,14613,4173,12179,7385,657,ACS 2023 5-year (ZCTA)
11102,ZCTA5 11102,28349,14744,1833,4449,7450,0,ACS 2023 5-year (ZCTA)
11103,ZCTA5 11103,35357,21137,1014,4520,9263,0,ACS 2023 5-year (ZCTA)
11104,ZCTA5 11104,26825,11994,779,7601,7312,0,ACS 2023 5-year (ZCTA)
11105,ZCTA5 11105,38507,25080,1604,4133,8615,0,ACS 2023 5-year (ZCTA)
11106,ZCTA5 11106,40657,19097,3242,7534,10951,0,ACS 2023 5-year (ZCTA)
11109,ZCTA5 11109,7388,4554,48,2059,375,352,ACS 2023 5-year (ZCTA)
11201,ZCTA5 11201,69251,41843,8597,9950,7403,1458,ACS 2023 5-year (ZCTA)
11203,ZCTA5 11203,76853,4312,61075,1352,5599,4515,ACS 2023 5-year (ZCTA)
11204,ZCTA5 11204,81368,44863,975,23781,10605,1144,ACS 2023 5-year (ZCTA)
11205,ZCTA5 11205,50205,27195,10866,3381,7605,1158,ACS 2023 5-year (ZCTA)
11206,ZCTA5 11206,89231,37667,18331,5891,32462,0,ACS 2023 5-year (ZCTA)
11207,ZCTA5 11207,93445,10443,55477,1476,30985,0,ACS 2023 5-year (ZCTA)
11208,ZCTA5 11208,106901,11350,47996,11220,42003,0,ACS 2023 5-year (ZCTA)
11209,ZCTA5 11209,70756,45955,2099,9614,13789,0,ACS 2023 5-year (ZCTA)
11210,ZCTA5 11210,60398,18556,30791,3301,4499,3251,ACS 2023 5-year (ZCTA)
11211,ZCTA5 11211,65691,41352,3926,4580,17336,0,ACS 2023 5-year (ZCTA)
11212,ZCTA5 11212,87946,5860,61636,993,17172,2285,ACS 2023 5-year (ZCTA)
11213,ZCTA5 11213,69630,17385,40773,1179,9129,1164,ACS 2023 5-year (ZCTA)
11214,ZCTA5 11214,88994,37446,1961,33593,14851,1143,ACS 2023 5-year (ZCTA)
11215,ZCTA5 11215,70922,50513,2582,6460,10299,1068,ACS 2023 5-year (ZCTA)
11216,ZCTA5 11216,59913,18885,28305,3057,7339,2327,ACS 2023 5-year (ZCTA)
11217,ZCTA5 11217,42569,22392,7472,4028,6748,1929,ACS 2023 5-year (ZCTA)
11218,ZCTA5 11218,71313,37197,6725,13344,12210,1837,ACS 2023 5-year (ZCTA)
11219,ZCTA5 11219,94737,58245,1331,20090,12384,2687,ACS 2023 5-year (ZCTA)
11220,ZCTA5 11220,90792,20328,2277,36377,36244,0,ACS 2023 5-year (ZCTA)
11221,ZCTA5 11221,90750,20702,36876,5215,28900,0,ACS 2023 5-year (ZCTA)
11222,ZCTA5 11222,41418,29416,1720,2422,6313,1547,ACS 2023 5-year (ZCTA)
11223,ZCTA5 11223,78566,41478,4446,20502,10415,1725,ACS 2023 5-year (ZCTA)
11224,ZCTA5 11224,48469,24103,11552,4123,8974,0,ACS 2023 5-year (ZCTA)
11225,ZCTA5 11225,56544,16108,30571,1723,5860,2282,ACS 2023 5-year (ZCTA)
11226,ZCTA5 11226,100022,15760,60532,4063,16356,3311,ACS 2023 5-year (ZCTA)
11228,ZCTA5 11228,42325,21557,576,15485,5333,0,ACS 2023 5-year (ZCTA)
11229,ZCTA5 11229,79802,48542,5301,17803,7261,895,ACS 2023 5-year (ZCTA)
11230,ZCTA5 11230,88252,53196,7645,14698,11187,1526,ACS 2023 5-year (ZCTA)
11231,ZCTA5 11231,39704,25607,4937,1956,6281,923,ACS 2023 5-year (ZCTA)
11232,ZCTA5 11232,26681,9232,1951,4002,13898,0,ACS 2023 5-year (ZCTA)
11233,ZCTA5 11233,82711,11722,56487,1280,13291,0,ACS 2023 5-year (ZCTA)
11234,ZCTA5 11234,87778,31896,37589,7205,8569,2519,ACS 2023 5-year (ZCTA)
11235,ZCTA5 11235,81958,56257,2345,12036,7105,4215,ACS 2023 5-year (ZCTA)
11236,ZCTA5 11236,95174,4638,76552,2286,7911,3787,ACS 2023 5-year (ZCTA)
11237,ZCTA5 11237,45233,14395,5924,3084,23645,0,ACS 2023 5-year (ZCTA)
11238,ZCTA5 11238,58462,29245,14695,4106,8547,1869,ACS 2023 5-year (ZCTA)
11239,ZCTA5 11239,16047,2590,9773,478,3048,158,ACS 2023 5-year (ZCTA)
11354,ZCTA5 11354,52325,8894,1652,33855,7530,394,ACS 2023 5-year (ZCTA)
11355,ZCTA5 11355,79802,6736,2016,59546,11424,80,ACS 2023 5-year (ZCTA)
11356,ZCTA5 11356,26956,6063,167,9503,11299,0,ACS 2023 5-year (ZCTA)
11357,ZCTA5 11357,42341,24702,225,10683,6080,651,ACS 2023 5-year (ZCTA)
11358,ZCTA5 11358,36496,11513,286,17961,6274,462,ACS 2023 5-year (ZCTA)
11360,ZCTA5 11360,19510,11055,310,5810,2410,0,ACS 2023 5-year (ZCTA)
11361,ZCTA5 11361,30402,12630,1125,12696,4558,0,ACS 2023 5-year (ZCTA)
11362,ZCTA5 11362,18156,7235,687,8798,1723,0,ACS 2023 5-year (ZCTA)
11363,ZCTA5 11363,7515,4266,40,2175,925,109,ACS 2023 5-year (ZCTA)
11364,ZCTA5 11364,36417,11649,946,18456,5525,0,ACS 2023 5-year (ZCTA)
11365,ZCTA5 11365,43258,10702,4947,18762,8878,0,ACS 2023 5-year (ZCTA)
11366,ZCTA5 11366,12967,4183,642,5695,2140,307,ACS 2023 5-year (ZCTA)
11367,ZCTA5 11367,42210,19206,3772,10679,8123,430,ACS 2023 5-year (ZCTA)
11368,ZCTA5 11368,107060,16774,10626,13101,79956,0,ACS 2023 5-year (ZCTA)
11369,ZCTA5 11369,33354,4233,6079,4720,19657,0,ACS 2023 5-year (ZCTA)
11370,ZCTA5 11370,28762,9858,2161,7229,11206,0,ACS 2023 5-year (ZCTA)
11372,ZCTA5 11372,66995,20478,1268,13919,37023,0,ACS 2023 5-year (ZCTA)
11373,ZCTA5 11373,99433,9152,1765,47837,43153,0,ACS 2023 5-year (ZCTA)
11374,ZCTA5 11374,46128,19584,1990,13685,10098,771,ACS 2023 5-year (ZCTA)
11375,ZCTA5 11375,75320,38374,2367,21118,12360,1101,ACS 2023 5-year (ZCTA)
11377,ZCTA5 11377,83545,24765,1973,30248,33160,0,ACS 2023 5-year (ZCTA)
11378,ZCTA5 11378,37828,21357,311,5611,13150,0,ACS 2023 5-year (ZCTA)
11379,ZCTA5 11379,37378,24758,597,4279,8692,0,ACS 2023 5-year (ZCTA)
11385,ZCTA5 11385,103865,55544,3906,7205,47199,0,ACS 2023 5-year (ZCTA)
11411,ZCTA5 11411,20501,663,17469,451,1537,381,ACS 2023 5-year (ZCTA)
11412,ZCTA5 11412,41350,639,32817,1748,3548,2598,ACS 2023 5-year (ZCTA)
11413,ZCTA5 11413,45072,737,38579,703,3910,1143,ACS 2023 5-year (ZCTA)
11414,ZCTA5 11414,31090,20701,1917,1485,7800,0,ACS 2023 5-year (ZCTA)
11415,ZCTA5 11415,21379,10329,1522,4357,5281,0,ACS 2023 5-year (ZCTA)
11416,ZCTA5 11416,26660,4601,1361,8715,11535,448,ACS 2023 5-year (ZCTA)
11417,ZCTA5 11417,30091,7645,2233,8849,11247,117,ACS 2023 5-year (ZCTA)
11418,ZCTA5 11418,36304,8341,2968,8714,14891,1390,ACS 2023 5-year (ZCTA)
11419,ZCTA5 11419,46938,2618,5553,16158,9672,12937,ACS 2023 5-year (ZCTA)
11420,ZCTA5 11420,50060,3505,10464,17081,10769,8241,ACS 2023 5-year (ZCTA)
11421,ZCTA5 11421,41937,9471,2355,8567,23464,0,ACS 2023 5-year (ZCTA)
11422,ZCTA5 11422,33085,2352,26337,655,3001,740,ACS 2023 5-year (ZCTA)
11423,ZCTA5 11423,29105,3140,9973,8961,4484,2547,ACS 2023 5-year (ZCTA)
11426,ZCTA5 11426,19638,4838,1107,9857,3117,719,ACS 2023 5-year (ZCTA)
11427,ZCTA5 11427,25124,4210,5720,9404,4233,1557,ACS 2023 5-year (ZCTA)
11428,ZCTA5 11428,18898,1887,3309,6164,5287,2251,ACS 2023 5-year (ZCTA)
11429,ZCTA5 11429,27933,1230,18587,1869,4237,2010,ACS 2023 5-year (ZCTA)
11432,ZCTA5 11432,63730,8839,11640,26934,13365,2952,ACS 2023 5-year (ZCTA)
11433,ZCTA5 11433,37777,1003,20769,6562,4939,4504,ACS 2023 5-year (ZCTA)
11434,ZCTA5 11434,67611,2318,53168,2393,8096,1636,ACS 2023 5-year (ZCTA)
11435,ZCTA5 11435,58424,8266,14678,13343,17441,4696,ACS 2023 5-year (ZCTA)
11436,ZCTA5 11436,21364,394,12922,1406,2654,3988,ACS 2023 5-year (ZCTA)
11691,ZCTA5 11691,68704,19256,29159,2844,17632,0,ACS 2023 5-year (ZCTA)
11692,ZCTA5 11692,23247,3769,12952,1301,5602,0,ACS 2023 5-year (ZCTA)
11693,ZCTA5 11693,13066,6668,3364,603,2863,0,ACS 2023 5-year (ZCTA)
11694,ZCTA5 11694,21430,16544,1750,389,3559,0,ACS 2023 5-year (ZCTA)
11697,ZCTA5 11697,4123,4050,0,27,40,6,ACS 2023 5-year (ZCTA)
