year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2024,10457,ZCTA5 10457,79543,4444,28084,739,51586,0,ACS 2024 5-year (ZCTA)
2024,10458,ZCTA5 10458,74898,9570,14522,2292,49911,0,ACS 2024 5-year (ZCTA)
2024,10459,ZCTA5 10459,48270,3594,17017,407,32194,0,ACS 2024 5-year (ZCTA)
2024,10460,ZCTA5 10460,59396,4091,20942,777,37625,0,ACS 2024 5-year (ZCTA)
2024,10461,ZCTA5 10461,52012,18375,5756,6927,24201,0,ACS 2024 5-year (ZCTA)
2024,10462,ZCTA5 10462,76320,11007,17160,14359,34961,0,ACS 2024 5-year (ZCTA)
2024,10463,ZCTA5 10463,69470,24150,9705,2966,35436,0,ACS 2024 5-year (ZCTA)
2024,10464,ZCTA5 10464,3828,2637,60,90,891,150,ACS 2024 5-year (ZCTA)
2024,10465,ZCTA5 10465,45404,18221,5334,3171,21532,0,ACS 2024 5-year (ZCTA)
2024,10466,ZCTA5 10466,71116,2885,44792,1784,20419,1236,ACS 2024 5-year (ZCTA)
2024,10467,ZCTA5 10467,96421,11373,29757,5925,52300,0,ACS 2024 5-year (ZCTA)
2024,10468,ZCTA5 10468,75557,5067,15639,1763,57113,0,ACS 2024 5-year (ZCTA)
2024,10469,ZCTA5 10469,68521,7975,38580,4304,18763,0,ACS 2024 5-year (ZCTA)
2024,10470,ZCTA5 10470,16004,6379,4402,550,4507,166,ACS 2024 5-year (ZCTA)
2024,10471,ZCTA5 10471,23798,13281,2279,992,7076,170,ACS 2024 5-year (ZCTA)
2024,10472,ZCTA5 10472,64011,4396,16208,5077,39909,0,ACS 2024 5-year (ZCTA)
2024,10473,ZCTA5 10473,58855,5391,23064,2014,35492,0,ACS 2024 5-year (ZCTA)
2024,10474,ZCTA5 10474,11270,337,2813,31,8231,0,ACS 2024 5-year (ZCTA)
2024,10475,ZCTA5 10475,42578,2911,27549,514,12482,0,ACS 2024 5-year (ZCTA)
2024,11004,ZCTA5 11004,13615,3814,846,6724,1674,557,ACS 2024 5-year (ZCTA)
2024,11101,ZCTA5 11101,42219,14769,3906,14025,7743,1776,ACS 2024 5-year (ZCTA)
2024,11102,ZCTA5 11102,28503,13790,2282,4241,7581,609,ACS 2024 5-year (ZCTA)
2024,11103,ZCTA5 11103,35163,19478,1010,4963,9220,492,ACS 2024 5-year (ZCTA)
2024,11104,ZCTA5 11104,26132,11492,771,6619,7493,0,ACS 2024 5-year (ZCTA)
2024,11105,ZCTA5 11105,37936,24533,1272,3520,8533,78,ACS 2024 5-year (ZCTA)
2024,11106,ZCTA5 11106,40930,18030,3105,7443,11275,1077,ACS 2024 5-year (ZCTA)
2024,11109,ZCTA5 11109,7948,4692,147,1915,789,405,ACS 2024 5-year (ZCTA)
2024,11201,ZCTA5 11201,70674,42233,7778,9673,8864,2126,ACS 2024 5-year (ZCTA)
2024,11203,ZCTA5 11203,74817,4597,57296,1640,5447,5837,ACS 2024 5-year (ZCTA)
2024,11204,ZCTA5 11204,79800,42755,1061,23517,10389,2078,ACS 2024 5-year (ZCTA)
2024,11205,ZCTA5 11205,51676,27569,10965,3552,6944,2646,ACS 2024 5-year (ZCTA)
2024,11206,ZCTA5 11206,93020,40759,17509,5948,32025,0,ACS 2024 5-year (ZCTA)
2024,11207,ZCTA5 11207,93198,7743,52125,2022,29720,1588,ACS 2024 5-year (ZCTA)
2024,11208,ZCTA5 11208,105428,5264,42659,11888,43708,1909,ACS 2024 5-year (ZCTA)
2024,11209,ZCTA5 11209,71004,44292,2433,8793,14752,734,ACS 2024 5-year (ZCTA)
2024,11210,ZCTA5 11210,57915,16837,29031,3199,4580,4268,ACS 2024 5-year (ZCTA)
2024,11211,ZCTA5 11211,65314,39719,2865,5182,16575,973,ACS 2024 5-year (ZCTA)
2024,11212,ZCTA5 11212,89020,4982,61844,1144,16536,4514,ACS 2024 5-year (ZCTA)
2024,11213,ZCTA5 11213,68846,17546,38367,1376,8487,3070,ACS 2024 5-year (ZCTA)
2024,11214,ZCTA5 11214,89397,36508,1841,33757,16130,1161,ACS 2024 5-year (ZCTA)
2024,11215,ZCTA5 11215,70441,49997,2091,6465,10167,1721,ACS 2024 5-year (ZCTA)
2024,11216,ZCTA5 11216,60685,17786,28492,3063,7770,3574,ACS 2024 5-year (ZCTA)
2024,11217,ZCTA5 11217,43490,21931,7384,4176,6970,3029,ACS 2024 5-year (ZCTA)
2024,11218,ZCTA5 11218,72042,35235,6160,15139,12764,2744,ACS 2024 5-year (ZCTA)
2024,11219,ZCTA5 11219,94196,57427,1391,19622,12431,3325,ACS 2024 5-year (ZCTA)
2024,11220,ZCTA5 11220,90652,17524,2199,34701,37431,0,ACS 2024 5-year (ZCTA)
2024,11221,ZCTA5 11221,91588,21928,34405,4907,28181,2167,ACS 2024 5-year (ZCTA)
2024,11222,ZCTA5 11222,42853,29900,2271,2492,5897,2293,ACS 2024 5-year (ZCTA)
2024,11223,ZCTA5 11223,78093,39373,4365,21042,11038,2275,ACS 2024 5-year (ZCTA)
2024,11224,ZCTA5 11224,50822,23884,11960,3869,10415,694,ACS 2024 5-year (ZCTA)
2024,11225,ZCTA5 11225,58158,17267,30680,2255,4990,2966,ACS 2024 5-year (ZCTA)
2024,11226,ZCTA5 11226,95144,15545,55691,4556,14521,4831,ACS 2024 5-year (ZCTA)
2024,11228,ZCTA5 11228,42241,21298,554,14650,6003,0,ACS 2024 5-year (ZCTA)
2024,11229,ZCTA5 11229,78377,46023,5757,17561,7087,1949,ACS 2024 5-year (ZCTA)
2024,11230,ZCTA5 11230,86978,48801,7777,15137,10625,4638,ACS 2024 5-year (ZCTA)
2024,11231,ZCTA5 11231,38276,24185,4205,1933,6470,1483,ACS 2024 5-year (ZCTA)
2024,11232,ZCTA5 11232,27816,8604,2137,3816,14747,0,ACS 2024 5-year (ZCTA)
2024,11233,ZCTA5 11233,81822,9876,55060,1816,13816,1254,ACS 2024 5-year (ZCTA)
2024,11234,ZCTA5 11234,83187,28823,35304,7328,8089,3643,ACS 2024 5-year (ZCTA)
2024,11235,ZCTA5 11235,78558,53392,2413,11504,7361,3888,ACS 2024 5-year (ZCTA)
2024,11236,ZCTA5 11236,88051,3724,69767,1816,6895,5849,ACS 2024 5-year (ZCTA)
2024,11237,ZCTA5 11237,45334,14031,5283,3312,22047,661,ACS 2024 5-year (ZCTA)
2024,11238,ZCTA5 11238,58345,27828,14485,4140,8205,3687,ACS 2024 5-year (ZCTA)
2024,11239,ZCTA5 11239,16410,2704,10144,364,3276,0,ACS 2024 5-year (ZCTA)
2024,11354,ZCTA5 11354,53028,8352,1807,33564,8973,332,ACS 2024 5-year (ZCTA)
2024,11355,ZCTA5 11355,80801,6379,1773,59919,12066,664,ACS 2024 5-year (ZCTA)
2024,11356,ZCTA5 11356,25824,5408,287,10122,10227,0,ACS 2024 5-year (ZCTA)
2024,11357,ZCTA5 11357,43346,23622,184,11386,6782,1372,ACS 2024 5-year (ZCTA)
2024,11358,ZCTA5 11358,37665,11107,257,18390,7215,696,ACS 2024 5-year (ZCTA)
2024,11360,ZCTA5 11360,19469,10838,352,5995,2255,29,ACS 2024 5-year (ZCTA)
2024,11361,ZCTA5 11361,30127,11235,998,12589,5339,0,ACS 2024 5-year (ZCTA)
2024,11362,ZCTA5 11362,18492,7059,909,8518,1849,157,ACS 2024 5-year (ZCTA)
2024,11363,ZCTA5 11363,7223,3863,66,2227,831,236,ACS 2024 5-year (ZCTA)
2024,11364,ZCTA5 11364,35276,11058,758,17795,5021,644,ACS 2024 5-year (ZCTA)
2024,11365,ZCTA5 11365,42322,10421,4144,19075,8185,497,ACS 2024 5-year (ZCTA)
2024,11366,ZCTA5 11366,13463,4244,556,5685,2436,542,ACS 2024 5-year (ZCTA)
2024,11367,ZCTA5 11367,40923,19317,2828,9855,8008,915,ACS 2024 5-year (ZCTA)
2024,11368,ZCTA5 11368,105716,11090,11810,13001,77145,0,ACS 2024 5-year (ZCTA)
2024,11369,ZCTA5 11369,35133,3238,6618,4435,21004,0,ACS 2024 5-year (ZCTA)
2024,11370,ZCTA5 11370,30267,9139,2073,7939,11440,0,ACS 2024 5-year (ZCTA)
2024,11372,ZCTA5 11372,64756,16847,1293,13175,35510,0,ACS 2024 5-year (ZCTA)
2024,11373,ZCTA5 11373,98403,7507,1720,47492,42669,0,ACS 2024 5-year (ZCTA)
2024,11374,ZCTA5 11374,46989,17819,2287,13868,10783,2232,ACS 2024 5-year (ZCTA)
2024,11375,ZCTA5 11375,76839,36751,2942,21887,13397,1862,ACS 2024 5-year (ZCTA)
2024,11377,ZCTA5 11377,81690,20326,2148,30224,31701,0,ACS 2024 5-year (ZCTA)
2024,11378,ZCTA5 11378,36392,18670,326,6001,11653,0,ACS 2024 5-year (ZCTA)
2024,11379,ZCTA5 11379,36773,23023,556,4383,8690,121,ACS 2024 5-year (ZCTA)
2024,11385,ZCTA5 11385,101704,48352,4123,7230,46439,0,ACS 2024 5-year (ZCTA)
2024,11411,ZCTA5 11411,20540,599,16993,588,1829,531,ACS 2024 5-year (ZCTA)
2024,11412,ZCTA5 11412,39828,463,31433,1783,3449,2700,ACS 2024 5-year (ZCTA)
2024,11413,ZCTA5 11413,45965,718,38837,614,4215,1581,ACS 2024 5-year (ZCTA)
